round,idno,cntry,trustpeople1,trustpeople2,trustpeople3,politics1,politics2,politics3,politics4,politics5,politics6,politics7,discriminate,optimism,D1,D2,D3,D4R,D5,D6R,D7,D8
6,1,AL,5,3,0,0,0,2,0,0,2,2,0,1,3,2,4,3,1,2,2,NA
6,2,AL,0,NA,0,0,0,10,8,10,10,10,0,2,4,2,3,1,4,1,4,NA
6,3,AL,5,5,4,NA,2,0,0,0,8,5,0,1,2,3,2,2,2,3,2,NA
6,4,AL,10,5,2,1,7,0,1,1,10,8,0,2,2,3,3,2,3,2,3,NA
6,5,AL,5,6,7,8,6,7,8,7,9,10,0,4,2,3,4,2,2,NA,3,NA
6,6,AL,9,8,5,4,5,8,5,5,9,10,0,3,1,4,4,2,3,1,3,NA
6,7,AL,9,9,9,0,10,9,7,0,10,10,0,2,1,1,1,3,2,3,2,NA
6,8,AL,0,1,4,8,9,10,0,0,10,10,NA,1,2,3,4,3,1,4,1,NA
6,9,AL,6,7,7,6,7,7,4,3,8,9,0,2,2,3,2,3,1,3,2,NA
6,10,AL,8,7,9,0,0,4,0,0,8,6,0,2,2,3,2,2,1,4,2,NA
6,11,AL,5,3,8,1,1,1,0,10,10,10,0,3,NA,2,3,3,4,4,4,NA
6,12,AL,1,5,1,1,1,2,1,0,5,5,0,2,2,2,3,3,3,3,2,NA
6,13,AL,3,5,3,0,0,1,0,0,5,5,0,1,2,3,3,3,1,1,2,NA
6,14,AL,6,3,4,4,2,2,1,1,8,9,0,1,2,2,2,3,3,3,3,NA
6,15,AL,2,4,3,7,3,4,1,NA,5,5,0,2,3,3,3,2,2,2,2,NA
6,16,AL,0,1,5,1,0,5,0,0,NA,NA,0,2,1,2,4,2,3,2,2,NA
6,17,AL,5,0,1,0,0,0,4,0,NA,NA,0,3,1,2,3,4,1,4,2,NA
6,18,AL,10,10,0,10,10,10,10,10,10,10,0,1,2,3,2,3,1,3,2,NA
6,19,AL,0,3,4,3,2,3,2,1,6,5,0,1,2,4,2,4,2,4,2,NA
6,20,AL,3,2,3,0,0,0,9,5,2,2,0,3,3,3,2,2,3,2,3,NA
6,21,AL,NA,NA,2,0,0,0,0,0,NA,NA,0,2,3,NA,2,1,4,1,3,NA
6,22,AL,2,2,0,6,9,9,6,6,10,10,0,1,1,3,1,4,1,3,1,NA
6,23,AL,5,9,5,9,9,9,7,8,10,10,0,4,1,3,4,4,1,3,2,NA
6,24,AL,5,6,6,7,7,10,5,5,9,10,0,2,2,2,2,3,1,4,2,NA
6,25,AL,2,5,8,2,5,7,2,1,2,6,0,2,2,1,1,3,1,4,2,NA
6,26,AL,5,8,8,9,5,9,9,9,8,9,0,2,2,4,2,3,1,3,2,NA
6,27,AL,5,3,2,0,NA,2,0,0,6,NA,0,2,2,NA,1,2,1,2,2,NA
6,28,AL,1,1,6,0,0,10,6,0,10,10,0,1,1,3,3,2,2,2,2,NA
6,29,AL,9,2,2,0,2,9,5,3,10,10,0,2,1,1,1,4,NA,3,2,NA
6,30,AL,4,5,4,0,3,2,0,0,0,5,0,1,2,2,2,4,1,3,2,NA
6,31,AL,0,NA,9,5,8,10,2,4,8,10,0,2,1,1,2,3,1,NA,2,NA
6,32,AL,0,10,0,0,0,0,0,0,0,0,0,2,2,NA,4,1,4,1,4,NA
6,33,AL,8,5,3,4,7,9,7,8,10,NA,0,1,2,2,2,2,3,2,2,NA
6,34,AL,0,8,7,0,4,8,1,0,9,9,0,2,2,3,2,3,2,3,2,NA
6,35,AL,0,3,9,7,6,7,4,5,7,7,0,2,2,3,3,2,3,2,4,NA
6,36,AL,0,5,6,NA,0,5,0,0,10,10,0,2,1,2,3,3,1,3,2,NA
6,37,AL,0,8,1,10,5,10,1,0,NA,NA,0,1,1,2,3,3,1,4,2,NA
6,38,AL,0,1,1,0,0,1,0,0,0,0,0,1,2,2,1,1,4,2,2,NA
6,39,AL,2,5,0,0,2,0,0,0,5,5,0,3,2,2,2,2,1,3,2,NA
6,40,AL,8,8,5,3,3,6,4,4,9,9,0,2,2,2,2,4,2,3,2,NA
6,41,AL,4,4,4,6,7,7,4,4,10,8,0,2,2,2,3,2,2,1,2,NA
6,42,AL,5,3,7,4,0,8,0,0,10,8,0,1,2,3,2,2,2,2,3,NA
6,43,AL,1,2,1,0,2,1,0,0,5,8,0,2,2,3,2,2,2,1,2,NA
6,44,AL,5,5,2,7,7,6,6,6,7,8,0,1,2,2,2,3,1,2,2,NA
6,45,AL,5,6,3,4,6,6,4,5,8,9,0,2,2,4,1,2,3,4,2,NA
6,46,AL,0,10,2,0,10,0,0,4,10,6,0,1,1,3,1,3,2,3,2,NA
6,48,AL,0,2,0,0,2,2,0,0,3,3,1,2,2,2,2,3,1,3,2,NA
6,49,AL,5,4,3,2,7,7,0,5,4,6,1,5,2,2,3,1,2,1,4,NA
6,50,AL,3,9,7,NA,5,4,0,0,1,1,0,2,2,3,3,3,2,3,2,NA
6,51,AL,0,0,0,7,2,0,2,0,10,10,0,1,1,1,1,3,2,2,2,NA
6,52,AL,0,1,1,3,5,5,0,0,8,8,0,1,2,3,2,2,1,2,1,NA
6,53,AL,6,4,9,0,0,NA,4,0,NA,10,0,2,2,3,2,3,2,3,2,NA
6,54,AL,7,8,6,2,9,7,1,1,10,8,0,2,2,4,4,3,1,3,1,NA
6,55,AL,0,7,5,5,8,8,5,7,3,5,0,2,2,1,3,3,1,3,2,NA
6,56,AL,9,7,10,4,10,8,2,2,5,5,0,2,1,1,2,3,1,1,2,NA
6,57,AL,10,5,2,5,5,5,0,0,NA,5,0,2,2,1,2,4,2,4,2,NA
6,58,AL,7,3,8,6,5,8,3,3,9,9,0,2,1,3,2,3,1,4,2,NA
6,59,AL,0,10,6,0,0,0,0,0,0,0,0,2,4,NA,3,2,3,1,3,NA
6,60,AL,3,0,0,0,NA,10,0,0,3,4,0,3,3,3,1,2,1,2,1,NA
6,61,AL,1,10,5,10,5,5,5,0,10,5,1,NA,2,3,2,2,3,NA,2,NA
6,62,AL,5,7,0,4,4,5,0,0,6,7,0,3,1,3,1,1,1,2,2,NA
6,63,AL,3,8,2,7,8,10,5,9,9,8,0,2,3,3,3,2,2,2,3,NA
6,64,AL,0,0,0,3,3,5,2,0,6,7,0,2,1,2,3,3,2,2,3,NA
6,65,AL,3,3,2,0,0,8,0,0,8,8,0,2,2,2,3,2,3,1,3,NA
6,66,AL,0,5,10,2,4,10,0,0,10,10,0,1,4,3,3,1,3,2,3,NA
6,67,AL,5,4,4,6,5,5,3,6,10,10,0,1,2,1,2,3,1,4,2,NA
6,68,AL,3,0,10,8,7,10,10,8,8,10,0,1,1,3,4,3,2,2,2,NA
6,69,AL,7,6,5,4,3,7,0,0,8,8,0,1,3,2,2,2,4,2,2,NA
6,71,AL,5,5,5,5,3,6,1,2,10,10,0,4,4,3,3,1,2,1,4,NA
6,72,AL,4,7,9,0,0,6,0,0,0,0,0,2,1,1,2,2,1,2,1,NA
6,74,AL,6,8,5,NA,NA,10,NA,NA,NA,NA,0,1,1,2,4,4,1,4,1,NA
6,75,AL,9,7,9,6,8,10,9,6,9,8,0,2,2,2,2,3,2,3,3,NA
6,76,AL,0,5,6,0,3,3,0,0,0,0,0,2,4,4,4,1,4,1,4,NA
6,77,AL,0,5,2,0,0,5,0,0,5,6,0,1,2,2,2,3,1,2,2,NA
6,78,AL,8,10,9,0,0,0,0,0,0,0,NA,2,2,3,3,3,2,3,3,NA
6,79,AL,0,8,1,0,0,0,0,0,5,5,0,2,2,3,2,2,1,4,2,NA
6,80,AL,3,7,1,9,9,3,0,0,7,7,0,2,2,2,2,3,2,3,2,NA
6,81,AL,5,8,5,5,4,6,3,5,8,8,0,2,2,3,2,3,1,4,2,NA
6,82,AL,8,0,7,6,0,0,0,4,10,10,0,1,2,2,1,3,2,2,2,NA
6,83,AL,3,2,2,0,0,0,0,0,NA,9,0,4,2,3,3,2,2,2,2,NA
6,84,AL,7,6,5,1,0,2,0,3,8,8,0,2,2,3,2,2,2,2,2,NA
6,85,AL,8,2,4,0,5,2,0,0,NA,NA,0,2,3,NA,1,2,4,NA,4,NA
6,86,AL,1,1,2,0,5,5,0,0,0,0,0,2,3,3,3,2,2,3,3,NA
6,87,AL,4,7,9,0,5,10,2,0,10,10,0,1,4,3,4,2,2,3,4,NA
6,88,AL,1,8,9,10,10,10,9,10,10,10,1,2,2,3,3,3,2,3,2,NA
6,89,AL,7,7,8,8,8,7,3,5,8,8,0,2,2,3,1,3,1,3,1,NA
6,90,AL,2,0,0,9,10,10,8,9,10,10,0,2,2,2,3,3,2,4,3,NA
6,91,AL,5,5,9,10,8,9,5,10,8,9,0,4,2,2,3,3,2,2,2,NA
6,92,AL,0,8,5,2,1,2,0,6,0,0,0,2,2,1,3,3,2,1,2,NA
6,94,AL,1,2,4,4,0,4,4,4,8,10,0,2,1,3,1,2,2,3,2,NA
6,95,AL,3,5,1,7,3,7,0,0,10,10,0,2,2,2,3,2,1,2,2,NA
6,96,AL,0,7,10,2,3,5,5,5,10,10,0,3,3,3,3,1,3,2,3,NA
6,97,AL,3,3,0,4,3,2,2,5,8,8,NA,2,1,1,1,2,1,2,2,NA
6,98,AL,3,7,4,2,9,10,6,6,8,8,0,2,3,3,4,2,3,2,4,NA
6,99,AL,9,7,7,8,8,9,7,8,10,10,0,2,2,3,3,2,2,1,2,NA
6,101,AL,5,8,5,0,3,7,0,2,8,8,0,2,3,2,4,3,1,3,2,NA
6,102,AL,0,8,2,0,0,10,0,0,10,10,0,2,2,2,3,3,1,2,2,NA
6,103,AL,10,0,0,0,3,0,0,0,NA,NA,1,2,2,3,2,1,1,2,2,NA
6,104,AL,0,5,0,8,9,7,6,5,10,10,0,2,1,2,2,3,2,2,2,NA
6,105,AL,2,3,3,NA,7,7,3,4,8,8,0,2,1,1,1,1,2,2,1,NA
6,106,AL,5,5,3,8,2,4,2,2,5,2,0,2,4,4,3,1,4,1,4,NA
6,107,AL,0,0,5,10,5,10,NA,5,NA,NA,0,2,2,3,3,2,1,2,2,NA
6,108,AL,0,7,2,3,2,0,2,2,9,NA,0,3,1,3,2,2,1,NA,2,NA
6,109,AL,0,0,0,1,4,3,10,7,10,10,0,1,1,1,3,2,1,2,2,NA
6,110,AL,0,0,0,0,0,0,0,0,5,5,1,1,3,3,3,3,2,4,3,NA
6,111,AL,3,8,6,0,0,7,0,0,8,8,0,2,1,1,3,2,2,2,1,NA
6,112,AL,1,1,4,0,0,1,0,0,10,10,0,2,2,2,1,3,2,1,2,NA
6,113,AL,5,7,3,0,10,10,0,0,10,10,0,1,2,3,2,4,2,1,2,NA
6,114,AL,7,5,6,8,7,10,4,7,10,9,0,2,1,2,2,3,2,3,2,NA
6,115,AL,4,5,0,0,0,1,2,1,1,1,NA,2,2,2,2,3,1,4,2,NA
6,116,AL,5,10,10,0,NA,10,0,NA,NA,NA,0,2,1,2,3,3,2,3,2,NA
6,117,AL,0,0,10,0,0,5,0,3,8,8,0,2,1,2,2,3,1,3,1,NA
6,118,AL,2,1,0,0,1,1,0,0,1,1,0,5,3,3,2,2,2,2,3,NA
6,120,AL,5,2,10,0,2,5,0,0,5,10,0,1,1,2,1,4,1,4,2,NA
